time_iso8601,stars_cumulative
2023-11-09 00:00:00+00:00,1093
2023-11-10 00:00:00+00:00,1098
2023-11-11 00:00:00+00:00,1102
2023-11-12 00:00:00+00:00,1107
2023-11-13 00:00:00+00:00,1116
2023-11-14 00:00:00+00:00,1123
2023-11-15 00:00:00+00:00,1126
2023-11-16 00:00:00+00:00,1135
2023-11-17 00:00:00+00:00,1138
2023-11-18 00:00:00+00:00,1143
2023-11-19 00:00:00+00:00,1145
2023-11-20 00:00:00+00:00,1152
2023-11-21 00:00:00+00:00,1154
2023-11-22 00:00:00+00:00,1157
2023-11-23 00:00:00+00:00,1159
2023-11-25 00:00:00+00:00,1161
2023-11-26 00:00:00+00:00,1167
2023-11-27 00:00:00+00:00,1176
2023-11-28 00:00:00+00:00,1183
2023-11-29 00:00:00+00:00,1189
2023-11-30 00:00:00+00:00,1196
2023-12-01 00:00:00+00:00,1200
2023-12-02 00:00:00+00:00,1206
2023-12-03 00:00:00+00:00,1215
2023-12-04 00:00:00+00:00,1224
2023-12-05 00:00:00+00:00,1228
2023-12-06 00:00:00+00:00,1232
2023-12-07 00:00:00+00:00,1243
2023-12-08 00:00:00+00:00,1249
2023-12-10 00:00:00+00:00,1254
2023-12-11 00:00:00+00:00,1259
2023-12-12 00:00:00+00:00,1267
2023-12-13 00:00:00+00:00,1271
2023-12-14 00:00:00+00:00,1275
2023-12-15 00:00:00+00:00,1280
2023-12-16 00:00:00+00:00,1282
2023-12-17 00:00:00+00:00,1288
2023-12-18 00:00:00+00:00,1291
2023-12-19 00:00:00+00:00,1296
2023-12-20 00:00:00+00:00,1301
2023-12-21 00:00:00+00:00,1306
2023-12-22 00:00:00+00:00,1310
2023-12-23 00:00:00+00:00,1315
2023-12-24 00:00:00+00:00,1316
2023-12-26 00:00:00+00:00,1319
2023-12-27 00:00:00+00:00,1323
2023-12-28 00:00:00+00:00,1328
2023-12-29 00:00:00+00:00,1336
2023-12-30 00:00:00+00:00,1340
2023-12-31 00:00:00+00:00,1348
2024-01-01 00:00:00+00:00,1355
2024-01-02 00:00:00+00:00,1369
2024-01-03 00:00:00+00:00,1385
2024-01-04 00:00:00+00:00,1391
2024-01-05 00:00:00+00:00,1395
2024-01-06 00:00:00+00:00,1407
2024-01-07 00:00:00+00:00,1414
2024-01-08 00:00:00+00:00,1429
2024-01-09 00:00:00+00:00,1434
2024-01-10 00:00:00+00:00,1438
2024-01-11 00:00:00+00:00,1443
2024-01-12 00:00:00+00:00,1446
2024-01-13 00:00:00+00:00,1452
2024-01-14 00:00:00+00:00,1458
2024-01-15 00:00:00+00:00,1463
2024-01-16 00:00:00+00:00,1468
2024-01-17 00:00:00+00:00,1474
2024-01-18 00:00:00+00:00,1488
2024-01-19 00:00:00+00:00,1494
2024-01-20 00:00:00+00:00,1497
2024-01-21 00:00:00+00:00,1501
2024-01-22 00:00:00+00:00,1506
2024-01-23 00:00:00+00:00,1511
2024-01-24 00:00:00+00:00,1513
